Palmerston north, New Zealand 	Sun Feb 28 07:13:39 +0000 2016
Palmerston north, New Zealand 	Sun Feb 28 07:05:38 +0000 2016
Palmerston north, New Zealand 	Tue Feb 16 08:15:14 +0000 2016
Palmerston north, New Zealand 	Tue Feb 16 08:07:00 +0000 2016
Palmerston north, New Zealand 	Tue Feb 16 07:10:16 +0000 2016
Palmerston north, New Zealand 	Tue Feb 02 08:20:17 +0000 2016
Palmerston north, New Zealand 	Tue Feb 02 07:41:57 +0000 2016
Palmerston north, New Zealand 	Mon Feb 01 22:25:55 +0000 2016
Palmerston north, New Zealand 	Sun Jan 31 05:40:17 +0000 2016
Palmerston north, New Zealand 	Wed Jan 27 00:26:47 +0000 2016
Palmerston north, New Zealand 	Mon Jan 25 08:46:37 +0000 2016
Palmerston north, New Zealand 	Sun Jan 24 23:08:21 +0000 2016
Palmerston north, New Zealand 	Fri Jan 22 06:24:19 +0000 2016
Palmerston north, New Zealand 	Thu Jan 21 18:58:00 +0000 2016
Palmerston north, New Zealand 	Thu Jan 21 18:37:51 +0000 2016
Palmerston north, New Zealand 	Sun Jan 17 20:38:37 +0000 2016
Palmerston north, New Zealand 	Sun Jan 17 02:30:19 +0000 2016
Palmerston north, New Zealand 	Sat Jan 16 22:30:49 +0000 2016
Palmerston north, New Zealand 	Fri Jan 15 20:56:53 +0000 2016
Palmerston north, New Zealand 	Fri Jan 15 09:59:47 +0000 2016
Palmerston north, New Zealand 	Fri Jan 15 09:56:14 +0000 2016
Palmerston north, New Zealand 	Wed Jan 13 23:25:22 +0000 2016
Palmerston north, New Zealand 	Mon Jan 11 08:22:13 +0000 2016
Palmerston north, New Zealand 	Mon Jan 11 08:14:29 +0000 2016
Palmerston north, New Zealand 	Mon Jan 11 08:10:54 +0000 2016
Palmerston north, New Zealand 	Mon Jan 11 07:55:18 +0000 2016
Palmerston north, New Zealand 	Wed Jan 06 03:46:04 +0000 2016
Palmerston north, New Zealand 	Wed Dec 30 20:05:52 +0000 2015
Palmerston north, New Zealand 	Wed Dec 30 20:01:38 +0000 2015
Palmerston north, New Zealand 	Tue Dec 29 00:17:35 +0000 2015
Palmerston north, New Zealand 	Mon Dec 28 04:33:51 +0000 2015
Palmerston north, New Zealand 	Fri Dec 25 06:23:15 +0000 2015
Palmerston north, New Zealand 	Fri Dec 25 01:52:48 +0000 2015
Palmerston north, New Zealand 	Fri Dec 25 01:51:34 +0000 2015
Palmerston north, New Zealand 	Fri Dec 25 01:48:56 +0000 2015
Palmerston north, New Zealand 	Tue Dec 22 08:42:52 +0000 2015
Palmerston north, New Zealand 	Mon Dec 21 23:20:03 +0000 2015
Palmerston north, New Zealand 	Sat Dec 19 10:18:42 +0000 2015
Palmerston north, New Zealand 	Sat Dec 12 06:14:41 +0000 2015
Palmerston north, New Zealand 	Sat Dec 12 04:24:29 +0000 2015
Palmerston north, New Zealand 	Sat Dec 05 07:13:38 +0000 2015
Palmerston north, New Zealand 	Sat Dec 05 06:32:35 +0000 2015
Palmerston north, New Zealand 	Sat Dec 05 06:26:31 +0000 2015
Palmerston north, New Zealand 	Sat Dec 05 06:22:38 +0000 2015
Palmerston north, New Zealand 	Thu Dec 03 21:20:49 +0000 2015
